id,precio,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,cantidad_pisos,departamentos_piso,numero_piso_unidad,comuna
1,400000.0,34.0,34.0,0.0,3,2,1,1,3,0,40000.0,23,13,16,san miguel
2,410000.0,5438.0,52.0,2.0,3,2,1,1,3,1,140000.0,5,24,5,santiago
3,1950000.0,190.0,140.0,50.0,5,4,2,2,7,1,400000.0,7,4,3,las condes
4,305500.0,389.0,32.0,62.0,2,1,1,0,2,0,53000.0,20,17,1,otras
5,365000.0,38.0,33.0,5.0,2,1,1,0,2,1,45000.0,9,22,2,santiago
6,350000.0,33.0,30.0,3.0,2,1,1,0,2,1,45000.0,14,14,14,san miguel
7,290000.0,35.0,33.0,2.0,2,1,1,0,2,0,60000.0,26,15,15,santiago
8,529000.0,5539.0,50.0,443.0,3,2,2,1,4,1,75000.0,14,7,4,otras
9,500000.0,52.0,50.0,2.0,3,2,2,1,4,1,80000.0,16,12,13,san miguel
10,460000.0,54.0,47.0,7.0,3,2,2,1,4,1,65000.0,26,10,25,la florida
11,470000.0,4599.0,42.0,344.0,3,2,1,1,3,1,80000.0,9,16,3,santiago
12,475000.0,5872.0,56.0,242.0,3,2,2,1,4,0,90000.0,13,15,2,otras
13,450000.0,61.0,55.0,6.0,3,2,2,1,4,1,100000.0,16,8,13,la florida
14,370000.0,363.0,31.0,53.0,2,1,1,1,2,0,60000.0,26,10,14,la florida
15,405000.0,0.0,39.0,0.0,0,0,0,0,0,0,80000.0,0,0,0,estación central
16,330000.0,3485.0,32.0,235.0,2,1,1,0,2,0,45000.0,20,16,12,estación central
17,350000.0,38.0,36.0,2.0,2,1,1,0,2,0,45000.0,9,16,3,santiago
18,415000.0,0.0,45.0,0.0,0,0,0,0,0,0,95000.0,0,0,0,estación central
19,340000.0,436.0,36.0,67.0,3,2,1,0,3,0,45000.0,15,20,9,otras
20,350000.0,4337.0,40.0,312.0,3,2,1,1,3,1,75000.0,25,13,15,estación central
21,420000.0,499.0,46.0,308.0,3,2,2,1,4,0,100000.0,28,12,14,estación central
22,558000.0,7094.0,59.0,113.0,3,2,2,1,4,1,75000.0,16,9,2,otras
23,390000.0,36.0,32.0,4.0,2,1,1,0,2,1,40000.0,16,9,16,otras
24,410000.0,4874.0,47.0,147.0,3,2,2,0,4,0,78000.0,20,14,14,estación central
25,400000.0,5011.0,47.0,26.0,3,2,2,0,4,0,65000.0,25,13,6,estación central
26,435000.0,4892.0,45.0,301.0,3,2,2,0,4,0,75000.0,10,15,9,santiago
27,420000.0,0.0,46.0,0.0,0,0,0,0,0,0,60000.0,0,0,0,otras
28,300000.0,39.0,36.0,3.0,2,1,1,0,2,0,60000.0,26,15,11,santiago
29,320000.0,0.0,35.0,0.0,0,0,0,0,0,0,60000.0,0,0,0,san miguel
30,370000.0,3669.0,34.0,26.0,2,1,1,1,2,1,65000.0,26,17,11,estación central
31,300000.0,35.0,31.0,4.0,2,1,1,0,2,1,45000.0,23,16,15,otras
32,430000.0,4873.0,41.0,753.0,3,2,1,1,3,0,80000.0,24,15,20,otras
33,430000.0,4508.0,42.0,299.0,3,2,2,1,4,1,70000.0,26,17,22,estación central
34,280000.0,36.0,34.0,2.0,2,1,1,0,2,0,30000.0,15,15,6,estación central
35,385000.0,4532.0,39.0,534.0,3,2,1,1,3,0,60000.0,25,13,25,estación central
36,390000.0,54.0,51.0,3.0,3,2,2,1,4,0,75000.0,16,9,16,estación central
37,268000.0,0.0,26.0,0.0,0,0,0,0,0,0,50000.0,0,0,0,estación central
38,588000.0,6304.0,58.0,435.0,3,2,2,1,4,1,70000.0,16,9,12,otras
39,450000.0,465.0,39.0,71.0,3,2,1,1,3,1,55000.0,26,10,13,la florida
40,400000.0,4432.0,42.0,232.0,3,2,2,1,4,1,65000.0,24,13,15,otras
41,395000.0,4508.0,42.0,299.0,3,2,2,1,4,1,70000.0,26,17,12,estación central
42,418500.0,0.0,47.0,0.0,0,0,0,0,0,0,78000.0,0,0,0,estación central
43,370000.0,402.0,37.0,266.0,2,1,1,0,2,0,45000.0,9,16,1,santiago
